,,,,,,
,,,,,,
,,,,,,
Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
01/10/2022,19431.11,20988.39,18319.82,20495.77,20495.77,957903424925.00
01/09/2022,20050.5,22673.82,18290.31,19431.79,19431.79,1123272250385.00
01/08/2022,23336.72,25135.59,19600.79,20049.76,20049.76,894192654543.00
01/07/2022,19820.47,24572.58,18966.95,23336.9,23336.9,927582363389.00
01/06/2022,31792.55,31957.29,17708.62,19784.73,19784.73,923939211678.00
01/05/2022,37713.27,39902.95,26350.49,31792.31,31792.31,1105689315990.00
01/04/2022,45554.16,47313.48,37697.94,37714.88,37714.88,830115888649.00
01/03/2022,43194.5,48086.84,37260.2,45538.68,45538.68,830943838435.00
01/02/2022,38481.77,45661.17,34459.22,43193.23,43193.23,671335993325.00
01/01/2022,46311.75,47881.41,33184.06,38483.13,38483.13,923979037681.00
01/12/2021,56907.96,59041.68,42874.62,46306.45,46306.45,957047184722.00
01/11/2021,61320.45,68789.63,53569.77,57005.43,57005.43,1053270271383.00
01/10/2021,43816.74,66930.39,43320.02,61318.96,61318.96,1153077903534.00
01/09/2021,47099.77,52853.77,39787.61,43790.89,43790.89,1102139678824.00
01/08/2021,41460.84,50482.08,37458,47166.69,47166.69,1014674184428.00
01/07/2021,35035.98,42235.55,29360.96,41626.2,41626.2,819103381204.00
01/06/2021,37293.79,41295.27,28893.62,35040.84,35040.84,1189647451707.00
01/05/2021,57714.66,59519.36,30681.5,37332.86,37332.86,1976593438572.00
01/04/2021,58926.56,64863.1,47159.48,57750.18,57750.18,1844481772417.00
01/03/2021,45159.5,61683.86,45115.09,58918.83,58918.83,1681184264687.00
01/02/2021,33114.58,58330.57,32384.23,45137.77,45137.77,2267152936675.00
01/01/2021,28994.01,41946.74,28722.76,33114.36,33114.36,2153473433571.00
01/12/2020,19633.77,29244.88,17619.53,29001.72,29001.72,1212259707946.00
01/11/2020,13781,19749.26,13243.16,19625.84,19625.84,1093144913227.00
01/10/2020,10795.25,14028.21,10416.69,13781,13781,1050874546086.00
01/09/2020,11679.32,12067.08,9916.49,10784.49,10784.49,1075949438431.00
01/08/2020,11322.57,12359.06,11012.42,11680.82,11680.82,708377092130.00
01/07/2020,9145.99,11415.86,8977.02,11323.47,11323.47,545813339109.00
01/06/2020,9463.61,10199.57,8975.53,9137.99,9137.99,650913318680.00
01/05/2020,8672.78,9996.74,8374.32,9461.06,9461.06,1286368141507.00
01/04/2020,6437.32,9440.65,6202.37,8658.55,8658.55,1156127164831.00
01/03/2020,8599.76,9167.7,4106.98,6438.64,6438.64,1290442059648.00
01/02/2020,9346.36,10457.63,8492.93,8599.51,8599.51,1163376492768.00
01/01/2020,7194.89,9553.13,6915,9350.53,9350.53,852872174496.00
01/12/2019,7571.62,7743.43,6540.05,7193.6,7193.6,633790373416.00
01/11/2019,9193.99,9505.05,6617.17,7569.63,7569.63,676919523650.00
01/10/2019,8299.72,10021.74,7446.99,9199.58,9199.58,595205134748.00
01/09/2019,9630.59,10898.76,7830.76,8293.87,8293.87,480544963230.00
01/08/2019,10077.44,12273.82,9421.63,9630.66,9630.66,533984971734.00
01/07/2019,10796.93,13129.53,9163.13,10085.63,10085.63,676416326705.00
01/06/2019,8573.84,13796.49,7564.49,10817.16,10817.16,675855385074.00
01/05/2019,5350.91,9008.31,5347.65,8574.5,8574.5,724157870864.00
01/04/2019,4105.36,5642.04,4096.9,5350.73,5350.73,445364556718.00
01/03/2019,3853.76,4296.81,3733.75,4105.4,4105.4,297952790260.00
01/02/2019,3460.55,4210.64,3391.02,3854.79,3854.79,199100675597.00
01/01/2019,3746.71,4109.02,3400.82,3457.79,3457.79,167335706864.00
01/12/2018,4024.46,4309.38,3191.3,3742.7,3742.7,168826809069.00
01/11/2018,6318.14,6552.16,3585.06,4017.27,4017.27,158359524484.00
01/10/2018,6619.85,6965.06,6236.47,6317.61,6317.61,118436880000.00
01/09/2018,7044.81,7388.43,6197.52,6625.56,6625.56,129745370000.00
01/08/2018,7769.04,7769.04,5971.05,7037.58,7037.58,132292770000.00
01/07/2018,6411.68,8424.27,6136.42,7780.44,7780.44,141441939792.00
01/06/2018,7500.7,7754.89,5826.41,6404,6404,130214179584.00
01/05/2018,9251.47,9964.5,7090.68,7494.17,7494.17,197611709696.00
01/04/2018,7003.06,9745.32,6526.87,9240.55,9240.55,196550010624.00
01/03/2018,10385,11704.1,6683.93,6973.53,6973.53,193751709184.00
01/02/2018,10237.3,11958.5,6048.26,10397.9,10397.9,229717780480.00
01/01/2018,14112.2,17712.4,9402.29,10221.1,10221.1,416247858176.00
01/12/2017,10198.6,20089,9694.65,14156.4,14156.4,410336495104.00
01/11/2017,6440.97,11517.4,5519.01,10233.6,10233.6,140735010304.00
01/10/2017,4341.05,6470.43,4164.05,6468.4,6468.4,58009357952.00
01/09/2017,4701.76,4975.04,2946.62,4338.71,4338.71,55700949056.00
01/08/2017,2871.3,4736.05,2668.59,4703.39,4703.39,63548016640.00
01/07/2017,2492.6,2916.14,1843.03,2875.34,2875.34,32619956992.00
01/06/2017,2288.33,2999.91,2212.96,2480.84,2480.84,44478140928.00
01/05/2017,1348.3,2763.71,1348.3,2286.41,2286.41,34261856864.00
01/04/2017,1071.71,1347.91,1061.09,1347.89,1347.89,9757448112.00
01/03/2017,1180.04,1280.31,903.71,1071.79,1071.79,10872455960.00
01/02/2017,970.94,1200.39,946.69,1179.97,1179.97,4282761200.00
01/01/2017,963.66,1191.1,755.76,970.4,970.4,5143971692.00
01/12/2016,746.05,979.4,746.05,963.74,963.74,3556763800.00
01/11/2016,701.34,756.24,678.16,745.69,745.69,2635773092.00
01/10/2016,609.93,720.4,609.48,700.97,700.97,2115443796.00
01/09/2016,575.55,628.82,570.81,609.73,609.73,2004401400.00
01/08/2016,624.6,626.12,531.33,575.47,575.47,2686220180.00
01/07/2016,672.52,704.97,611.83,624.68,624.68,3454186204.00
01/06/2016,531.11,777.99,525.64,673.34,673.34,4749702740.00
01/05/2016,448.48,553.96,437.39,531.39,531.39,2234432796.00
01/04/2016,416.76,467.96,415.83,448.32,448.32,1811475204.00
01/03/2016,437.92,439.65,394.04,416.73,416.73,2332852776.00
01/02/2016,369.35,448.05,367.96,437.7,437.7,1876238692.00
01/01/2016,430.72,462.93,354.91,368.77,368.77,1990880304.00
01/12/2015,377.41,469.1,349.46,430.57,430.57,2096250000.00
01/11/2015,315.01,495.56,301,377.32,377.32,2177623396.00
01/10/2015,236,334.17,235.62,314.17,314.17,953279500.00
01/09/2015,230.26,259.18,225.12,236.06,236.06,603623900.00
01/08/2015,284.69,285.71,199.57,230.06,230.06,905192300.00
01/07/2015,263.35,314.39,253.51,284.65,284.65,999892200.00
01/06/2015,230.23,267.87,221.3,263.07,263.07,629780200.00
01/05/2015,235.94,247.8,228.57,230.19,230.19,568122600.00
01/04/2015,244.22,261.8,214.87,236.15,236.15,672338700.00
01/03/2015,254.28,300.04,236.51,244.22,244.22,959098300.00
01/02/2015,216.87,265.61,212.01,254.26,254.26,711518700.00
01/01/2015,320.43,320.43,171.51,217.46,217.46,1098811912.00
