,data,open,high,low,close,volume,marketCap,circulatingSupply,mês,ano,var%
96,2017-01-01,963.6580200195,1191.0999755859,755.7559814453,970.4030151367,164582000.0,15659186515.0,16136787,1,2017,0.6999365933843871
97,2016-12-01,746.0460205078,979.3969726563,746.0460205078,963.742980957,99135104.0,15492554222.0,16075400,12,2016,29.180098072371386
98,2016-11-01,701.3369750977,756.2369995117,678.1560058594,745.6909790039,84070800.0,11943536630.0,16016737,11,2016,6.324207261426817
99,2016-10-01,609.9290161133,720.4019775391,609.4790039063,700.9719848633,97064400.0,11181852070.0,15951924,10,2016,14.92681383321628
100,2016-09-01,575.5460205078,628.8179931641,570.8109741211,609.7349853516,56122400.0,9693198750.0,15897396,9,2016,5.9402660474718205
101,2016-08-01,624.6019897461,626.1190185547,531.333984375,575.4719848633,75840896.0,9117106216.0,15842832,8,2016,-7.86580985801395
102,2016-07-01,672.5150146484,704.9680175781,611.833984375,624.6810302734,110818000.0,9861866432.0,15787044,7,2016,-7.11270132756936
103,2016-06-01,531.1069946289,777.9899902344,525.6359863281,673.3369750977,138980000.0,10583527799.0,15718025,6,2016,26.779910998570134
104,2016-05-01,448.4840087891,553.9600219727,437.3890075684,531.3859863281,138450000.0,8293035755.0,15606425,5,2016,18.484935006452965
105,2016-04-01,416.7600097656,467.9649963379,415.8309936523,448.3179931641,69322600.0,6944860514.0,15490925,4,2016,7.572219660962509
106,2016-03-01,437.9169921875,439.6530151367,394.0350036621,416.7290039063,60215200.0,6409062819.0,15379450,3,2016,-4.838357190791099
107,2016-02-01,369.3500061035,448.0459899902,367.9570007324,437.6969909668,60694700.0,6681444705.0,15265000,2,2016,18.50466596287199
108,2016-01-01,430.7210083008,462.9339904785,354.9140014648,368.766998291,37894300.0,5587253351.0,15151175,1,2016,-14.383791088855723
109,2015-12-01,377.4140014648,469.1029968262,349.4649963379,430.566986084,45996600.0,6471217490.0,15029525,12,2015,14.083469191101905
110,2015-11-01,315.0050048828,495.5620117188,300.9970092773,377.3210144043,71701600.0,5623195996.0,14902950,11,2015,19.782545850242972
111,2015-10-01,236.0039978027,334.1690063477,235.6159973145,314.1659851074,48598100.0,4645486246.0,14786725,10,2015,33.118925116702314
112,2015-09-01,230.2559967041,259.1820068359,225.1170043945,236.0599975586,19743500.0,3463625759.0,14672650,9,2015,2.5206730498136265
113,2015-08-01,284.6860046387,285.7149963379,199.5670013428,230.0559997559,20710700.0,3349845416.0,14561000,8,2015,-19.1895646405702
114,2015-07-01,263.3450012207,314.3940124512,253.5050048828,284.6499938965,23629100.0,4112089481.0,14446125,7,2015,8.090145086120337
115,2015-06-01,230.233001709,267.8670043945,221.296005249,263.0719909668,44533800.0,3770229521.0,14331550,6,2015,14.263371894575915
116,2015-05-01,235.9389953613,247.8040008545,228.5729980469,230.1900024414,14730800.0,3273756425.0,14221975,5,2015,-2.4366438074792995
117,2015-04-01,244.2230072021,261.7980041504,214.8739929199,236.1450042725,33818600.0,3332094504.0,14110375,4,2015,-3.3076338802573546
118,2015-03-01,254.2830047607,300.0440063477,236.5149993896,244.2239990234,22672000.0,3420112896.0,14004000,3,2015,-3.9558309241965683
119,2015-02-01,216.8670043945,265.6109924316,212.0149993896,254.2630004883,13949300.0,3531776635.0,13890250,2,2015,17.243746321950137
120,2015-01-01,320.4349975586,320.4349975586,171.5099945068,217.4640045166,23348200.0,2997692310.0,13784775,1,2015,-32.13475239176052
121,2014-12-01,378.2489929199,384.0379943848,304.2319946289,320.1929931641,13942900.0,4377510594.0,13671475,12,2014,-15.348619782867267
122,2014-11-01,338.6499938965,457.0929870605,320.6260070801,378.0469970703,9194440.0,5125958175.0,13559050,11,2014,11.633546104784731
123,2014-10-01,387.4270019531,411.6979980469,289.2959899902,338.3210144043,12545400.0,4549893052.0,13448450,10,2014,-12.674900639667985
124,2014-09-01,477.7869873047,493.9280090332,372.2399902344,386.9440002441,34707300.0,5158621324.0,13331700,9,2014,-19.01328195919797
125,2014-08-01,586.2020263672,598.116027832,443.8510131836,477.7630004883,44632300.0,6312801959.0,13213250,8,2014,-18.49857574715602
126,2014-07-01,641.3909912109,657.8579711914,564.5109863281,586.2349853516,22467900.0,7670841007.0,13084925,7,2014,-8.599435697587431
127,2014-06-01,623.6929931641,674.1110229492,549.8209838867,639.7969970703,46422400.0,8296103744.0,12966775,6,2014,2.582040215732051
128,2014-05-01,447.6329956055,624.7150268555,423.2510070801,623.6770019531,15107100.0,8007248675.0,12838775,5,2014,39.327754673104565
129,2014-04-01,457.0,542.3779907227,351.2720031738,447.6449890137,15244900.0,5690810164.0,12712775,4,2014,-2.0470483558643338
130,2014-03-01,549.9199829102,702.9099731445,443.3649902344,457.0010070801,28254000.0,5752294437.0,12587050,3,2014,-16.896817485767446
131,2014-02-01,828.6099853516,853.5200195313,420.4100036621,549.2600097656,28076100.0,6843353923.0,12459225,2,2014,-33.713083419754454
132,2014-01-01,754.9699707031,1017.1199951172,754.9699707031,829.9199829102,17107900.0,10238411820.0,12336625,1,2014,9.927548792079687
133,2013-12-01,1128.9200439453,1156.1199951172,420.5100097656,754.0100097656,20897300.0,9191325349.0,12189925,12,2013,-33.2096180053178
134,2013-11-01,203.8999938965,1156.1400146484,201.6499938965,1129.4300537109,0.0,13620389320.0,12059525,11,2013,453.91372610055134
135,2013-10-01,132.6799926758,217.4199981689,102.25,204.0,0.0,2433658800.0,11929700,10,2013,53.753400106426376
136,2013-09-01,135.1399993896,146.5,118.4599990845,133.0,0.0,1566038425.0,11774725,9,2013,-1.5835425479250764
137,2013-08-01,106.2129974365,140.8899993896,101.2109985352,135.3500061035,0.0,1574672051.0,11634075,8,2013,27.43262064929455
138,2013-07-01,97.5100021362,111.34400177,65.5260009766,106.0899963379,0.0,1218777833.0,11488150,7,2013,8.799091389328083
139,2013-06-01,128.8150024414,129.7799987793,88.5,96.6139984131,0.0,1096957771.0,11354025,6,2013,-24.997867808874773
140,2013-05-01,139.0,139.8899993896,79.0999984741,129.0,0.0,1447870200.0,11223800,5,2013,-7.194244604316546
141,2013-04-01,135.3000030518,147.4880065918,132.1000061035,139.0,0.0,1542813125.0,11099375,4,2013,2.7346613930107955
